Team,Opponent,Win,WL,Location,Date,Scorecard,WT,BF,Runs,Wickets,HA,Region
New Zealand,Pakistan,1,1,Wellington,"Jan 6, 2018",ODI # 3946,0,1,315,7,1,Australasia
Pakistan,New Zealand,0,0,Wellington,"Jan 6, 2018",ODI # 3946,1,0,166,6,0,Asia
New Zealand,Pakistan,1,1,Nelson,"Jan 9, 2018",ODI # 3947,0,0,247,2,1,Australasia
Pakistan,New Zealand,0,0,Nelson,"Jan 9, 2018",ODI # 3947,1,1,246,9,0,Asia
New Zealand,Pakistan,1,1,Dunedin,"Jan 13, 2018",ODI # 3949,1,1,257,10,1,Australasia
Pakistan,New Zealand,0,0,Dunedin,"Jan 13, 2018",ODI # 3949,0,0,74,10,0,Asia
Australia,England,1,1,Melbourne,"Jan 14, 2018",ODI # 3951,0,1,308,5,0,Australasia
England,Australia,0,0,Melbourne,"Jan 14, 2018",ODI # 3951,1,0,304,8,1,Europe
New Zealand,Pakistan,1,1,Hamilton,"Jan 16, 2018",ODI # 3953,0,0,263,5,1,Australasia
Pakistan,New Zealand,0,0,Hamilton,"Jan 16, 2018",ODI # 3953,1,1,262,8,0,Asia
New Zealand,Pakistan,1,1,Wellington,"Jan 19, 2018",ODI # 3957,1,1,271,7,1,Australasia
Pakistan,New Zealand,0,0,Wellington,"Jan 19, 2018",ODI # 3957,0,0,256,10,0,Asia
Australia,England,0,0,Brisbane,"Jan 19, 2018",ODI # 3958,1,1,270,9,1,Australasia
England,Australia,1,1,Brisbane,"Jan 19, 2018",ODI # 3958,0,0,274,6,0,Europe
Bangladesh,Sri Lanka,1,1,Dhaka,"Jan 19, 2018",ODI # 3959,1,1,320,7,1,Asia
Sri Lanka,Bangladesh,0,0,Dhaka,"Jan 19, 2018",ODI # 3959,0,0,157,10,0,Asia
Australia,England,0,0,Sydney,"Jan 21, 2018",ODI # 3960,1,0,286,6,1,Australasia
England,Australia,1,1,Sydney,"Jan 21, 2018",ODI # 3960,0,1,286,6,0,Europe
Bangladesh,Sri Lanka,0,0,Dhaka,"Jan 25, 2018",ODI # 3965,1,1,82,10,1,Asia
Sri Lanka,Bangladesh,1,1,Dhaka,"Jan 25, 2018",ODI # 3965,0,0,83,0,0,Asia
Australia,England,1,1,Adelaide,"Jan 26, 2018",ODI # 3966,1,0,197,7,1,Australasia
England,Australia,0,0,Adelaide,"Jan 26, 2018",ODI # 3966,0,1,196,10,0,Europe
Bangladesh,Sri Lanka,0,0,Dhaka,"Jan 27, 2018",ODI # 3967,0,0,142,9,1,Asia
Sri Lanka,Bangladesh,1,1,Dhaka,"Jan 27, 2018",ODI # 3967,1,1,221,10,0,Asia
Australia,England,0,0,Perth,"Jan 28, 2018",ODI # 3968,1,0,247,10,1,Australasia
England,Australia,1,1,Perth,"Jan 28, 2018",ODI # 3968,0,1,259,10,0,Europe
South Africa,India,0,0,Durban,"Feb 1, 2018",ODI # 3969,1,1,269,8,1,Africa
India,South Africa,1,1,Durban,"Feb 1, 2018",ODI # 3969,0,0,270,4,0,Asia
South Africa,India,0,0,Centurion,"Feb 4, 2018",ODI # 3970,0,1,118,10,1,Africa
India,South Africa,1,1,Centurion,"Feb 4, 2018",ODI # 3970,1,0,119,1,0,Asia
South Africa,India,0,0,Cape Town,"Feb 7, 2018",ODI # 3971,1,0,179,10,1,Africa
India,South Africa,1,1,Cape Town,"Feb 7, 2018",ODI # 3971,0,1,303,6,0,Asia
South Africa,India,1,1,Johannesburg,"Feb 10, 2018",ODI # 3973,0,0,207,5,1,Africa
India,South Africa,0,0,Johannesburg,"Feb 10, 2018",ODI # 3973,1,1,289,7,0,Asia
South Africa,India,0,0,Port Elizabeth,"Feb 13, 2018",ODI # 3976,1,0,274,7,1,Africa
India,South Africa,1,1,Port Elizabeth,"Feb 13, 2018",ODI # 3976,0,1,201,10,0,Asia
South Africa,India,0,0,Centurion,"Feb 16, 2018",ODI # 3978,0,1,204,10,1,Africa
India,South Africa,1,1,Centurion,"Feb 16, 2018",ODI # 3978,1,0,206,2,0,Asia
New Zealand,England,1,1,Hamilton,"Feb 25, 2018",ODI # 3980,1,0,287,7,1,Australasia
England,New Zealand,0,0,Hamilton,"Feb 25, 2018",ODI # 3980,0,1,284,8,0,Europe
New Zealand,England,0,0,Mount Maunganui,"Feb 28, 2018",ODI # 3981,0,1,223,10,1,Australasia
England,New Zealand,1,1,Mount Maunganui,"Feb 28, 2018",ODI # 3981,1,0,225,4,0,Europe
New Zealand,England,0,0,Wellington,"Mar 3, 2018",ODI # 3982,1,1,230,8,1,Australasia
England,New Zealand,1,1,Wellington,"Mar 3, 2018",ODI # 3982,0,0,234,10,0,Europe
New Zealand,England,1,1,Dunedin,"Mar 7, 2018",ODI # 3989,1,0,339,5,1,Australasia
England,New Zealand,0,0,Dunedin,"Mar 7, 2018",ODI # 3989,0,1,335,9,0,Europe
New Zealand,England,0,0,Christchurch,"Mar 10, 2018",ODI # 3992,0,1,223,10,1,Australasia
